mitograph_data_extract_v2.py
directory: 2019_02_15_glycerol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_glycerol_13_w2488 laser 10_cell_004	2019021503004	glycerol	2	1.4380855956307652	11.207524834534027	1.3487078355320603	0.5497487350956884	4.03451	0.7190427978153826	5.6037624172670135	1.1925111289179386	0.7098071035629796	6.303677516152175	1.2164460963736707	0.6814025165587663	36.407236385295995	19.290685375125147	0.42882	0.10205	3.0	0	9.7196	0.1479572817431546
2019_02_15_glycerol_13_w2488 laser 10_cell_005	2019021503005	glycerol	5	6.711491719264018	52.04397673054922	1.739149122113075	0.3306178948445593	20.53014	1.3422983438528036	10.408795346109843	1.302569594671957	0.6079061539809938	14.025490068576502	1.3738712853324708	0.5424160914897067	121.01369275580959	28.114423971056706	0.3966	0.11929	7.0	0	67.8013	0.0989876553880828
2019_02_15_glycerol_14_w2488 laser 10_cell_001	2019021504001	glycerol	5	5.045284747903487	38.58491536306904	1.6469161424066652	0.3686863232049208	12.78382	1.0090569495806974	7.716983072613809	1.2003142733286094	0.7353680252218902	18.393587085580254	1.4034646959916102	0.5327736494189746	98.20501673636602	30.47690752527173	0.39265	0.12761	11.0	0	52.3284	0.09641580380641271
2019_02_15_glycerol_14_w2488 laser 10_cell_002	2019021504002	glycerol	7	7.915943523618774	59.01873085856783	1.7528791496240972	0.3254588231346105	25.99248	1.130849074802682	8.43124726550969	1.1789290809757274	0.7641165937702475	23.601976460626613	1.431784740384096	0.5344528892076715	132.47301544970188	33.57536859906949	0.42124	0.12321	15.0	0	64.6395	0.12246294484980196
2019_02_15_glycerol_14_w2488 laser 10_cell_003	2019021504003	glycerol	8	9.759990626087149	70.88472465033462	1.791504070442372	0.3115762897945747	26.88616	1.2199988282608936	8.860590581291827	1.2207698878932882	0.6988918662184109	21.332479007993594	1.4052727105438263	0.5343070045095916	162.80663376588703	30.98911569092668	0.42591	0.12201	15.0	0	99.5384	0.09805251667785647
2019_02_15_glycerol_14_w2488 laser 10_cell_004	2019021504004	glycerol	4	4.680644958798156	34.333330333352926	1.5928712383472143	0.3941292428300524	10.6028	1.170161239699539	8.583332583338231	1.1854131667753711	0.7556314692490798	20.6381935984755	1.410213161537816	0.5351986952454906	76.4347270793163	31.198823172371146	0.42315	0.11067	8.0	0	57.3714	0.08158498762097761
2019_02_15_glycerol_14_w2488 laser 10_cell_005	2019021504005	glycerol	2	3.2306696321500112	24.500410434790965	1.5225810999650882	0.4313592654309255	10.48498	1.6153348160750054	12.250205217395482	1.2967075352317097	0.6423519064429208	23.162303823684525	1.496053203944656	0.4497747783249201	49.931504885657816	35.750835862487136	0.34768000000000004	0.09364	4.0	0	45.5976	0.07085174728823472
2019_02_15_glycerol_14_w2488 laser 10_cell_006	2019021504006	glycerol	5	5.323951872204794	40.1965832183433	1.651104142038032	0.3668183611463404	16.5829	1.0647903744409588	8.03931664366866	1.206663904231143	0.7161481108716033	14.839264166567956	1.349200959546164	0.5815752709013823	98.37658851830251	27.49305620235	0.39802	0.11114	10.0	0	63.4205	0.08394686059247079
2019_02_15_glycerol_14_w2488 laser 10_cell_007	2019021504007	glycerol	2	3.136928203724147	24.20234765708093	1.5282174662876855	0.4281832576490347	8.45089	1.5684641018620735	12.101173828540466	1.296444639559711	0.6371262806521925	19.69844129165391	1.4537687965765222	0.4859319746373823	49.507171630794026	33.25378466271803	0.34483	0.10138	5.0	0	39.5266	0.0793624598048946
2019_02_15_glycerol_14_w2488 laser 10_cell_008	2019021504008	glycerol	3	5.9328073524546925	46.03707945898236	1.7099951697976328	0.3442573257134001	21.76143	1.9776024508182304	15.34569315299412	1.3369141373684357	0.6052755366977348	37.10230180797472	1.6096750258891719	0.39557468495759857	83.01876896515338	45.06512186203922	0.38016	0.11914	7.0	1	71.4038	0.08308811789365121
2019_02_15_glycerol_14_w2488 laser 10_cell_009	2019021504009	glycerol	1	1.299716260688478	8.517732080134646	1.2161031349705267	0.6761751155799861	3.08496	1.299716260688478	8.517732080134646	1.2161031349705267	0.6761751155799861	8.517732080134646	1.2161031349705267	0.6761751155799861	19.126583942533397	19.126583942533397	0.47147	0.11805	3.0	0	13.7106	0.09479645388885082
2019_02_15_glycerol_15_w2488 laser 10_cell_001	2019021505001	glycerol	5	4.580030401818808	34.99457143719562	1.6198277089716195	0.3811205376166642	11.43985	0.916006080363762	6.998914287439122	1.205753441726537	0.7115759207348924	12.992710080109171	1.3222101388820693	0.5950676710281776	96.69689392003109	25.428497826757983	0.41113	0.09339	10.0	0	57.8356	0.07919050553324956
2019_02_15_glycerol_15_w2488 laser 10_cell_002	2019021505002	glycerol	7	5.521971430288528	44.05936688119228	1.7077030158781965	0.3429061776086841	18.34748	0.7888530614697897	6.294195268741754	1.165943273404099	0.7692120013921222	14.103199391115826	1.3427018002165452	0.603905666717633	125.5055014939966	27.824711362535528	0.36439	0.13756	13.0	0	46.8237	0.11793112099830914
